gene_name,Category,WTDC1,WTDC2,WTDC3,VecDC1,VecDC2,VecDC3,iCDC1,iCDC2,iCDC3
Ccl5,Chemotaxis,739.5725402,743.8401488,1063.726978,2597.114028,2840.70558,2803.24954,28.58674653,53.20159745,27.6423354
Ccr7,Chemotaxis,316.9928099,288.2392225,328.9952891,654.574535,661.7017242,655.1979466,16.3693528,22.20432868,14.42694887
Cxcl1,Chemotaxis,24.32875815,26.02528176,26.39365039,12.41953407,14.10458868,14.34926927,0.398812377,0.615343778,0.656365251
Cxcl16,Chemotaxis,73.37322421,72.00793124,83.32702909,176.663,170.4929379,171.3255558,26.8886446,35.67931829,24.33932633
Cxcl5,Chemotaxis,22.23865592,21.9273533,16.54358362,3.773431481,3.583482895,4.415854938,0.121589139,0.291829705,0.166759464
Itga4,Chemotaxis,8.849795443,8.000774809,8.584221049,4.525540172,4.599033015,4.577052223,1.936571045,0.913462826,1.870943838
Cd40,Immune Activation,17.86326425,16.12868974,20.69939734,40.81020357,38.64950206,42.25918723,0.351273379,0.722658576,0.429077585
Cd86,Immune Activation,55.68628584,49.63784526,67.90391842,79.00090148,81.44441783,79.94250615,6.474845844,7.290504331,5.147462907
Nod2,Immune Activation,3.461440995,3.000689414,3.06913544,5.138448485,4.495145055,4.058638481,1.717287379,0.898719256,1.270600289
Tlr9,Immune Activation,3.762413997,4.317017145,3.564776074,9.559937142,8.520357612,10.35062886,2.150009219,0.685582846,2.034628483
Tnfrsf9,Immune Activation,181.3324035,164.4078127,189.354218,506.2866098,508.3603823,535.9295634,22.77384232,26.98628342,23.62354269
Il12b,Pro-inflammatory,26.23738043,25.1715219,22.40822363,24.31805359,25.65933746,27.06728359,0.038015923,0.117312616,0
Il15,Pro-inflammatory,6.794224238,5.246186454,8.976128449,14.09206031,12.74683985,13.43906708,1.959573392,3.22507221,2.257545577
Il1b,Pro-inflammatory,244.014902,249.980647,260.2513862,50.73284228,54.69775985,54.54618292,9.293248551,14.27842798,8.792910867
Isg15,Pro-inflammatory,41.84236908,44.39111308,49.34277273,40.51350992,40.39406536,42.96677998,15.01473281,28.75533175,18.49278748
Irf5,Pro-inflammatory,134.441443,135.9611072,126.5725955,152.9867349,155.2294279,152.7507908,63.5028055,50.5990516,65.61181256
Irf8,Pro-inflammatory,23.20241004,22.28005282,27.18715337,37.86227032,36.67384961,37.76581465,11.12581817,9.446447745,10.92310978
Jak2,Pro-inflammatory,174.6790999,166.5799786,177.7525674,148.3722403,154.8314785,155.4440554,68.44429108,65.26558755,66.24411968
Map3k6,Pro-inflammatory,3.639130532,3.494147705,2.875511143,3.271999708,3.320841386,3.347156123,2.013985177,0.818631763,1.520312785
Nfkb1,Pro-inflammatory,36.47533163,37.08864347,39.44632406,43.76589916,43.35779248,42.67963308,15.03290827,11.71147276,14.35824684
Cd276,Anti-inflammatory,0.68622283,0.849359837,0.414289789,0.527902721,0.429710512,0.593832832,1.632989713,1.073165521,1.423107666
Cd52,Anti-inflammatory,169.4320402,162.3814355,230.1012233,248.512165,238.4633146,239.5389989,425.2290768,780.3901764,447.8987813
Clec4a2,Anti-inflammatory,34.71820394,35.47706379,37.07614271,11.58005868,11.49195164,12.01118509,60.89232021,107.3181251,64.44392681
Ctla2a,Anti-inflammatory,0.089072131,0,0,0.611973122,0.51593429,0.643989753,3.376688914,6.386488589,2.689041906
Lair1,Anti-inflammatory,4.362966774,4.413158537,4.283919447,1.533461636,1.315732942,1.467769251,9.115963114,10.68363245,8.843770212
Nfkbid,Anti-inflammatory,7.230966366,8.382626956,8.888600285,7.970733868,7.983032385,8.426039363,18.77368753,14.87982604,19.03120896
Siglec1,Anti-inflammatory,1.403930418,1.459722186,0.853153483,1.806477927,1.528884796,1.697626074,12.10171953,2.519782374,11.80203163
Tnfaip8l2,Anti-inflammatory,27.30406158,23.57778068,22.28763182,21.39646285,19.4140969,17.28092467,46.85245668,70.54241837,50.73010171
Gpx1,pro-Treg Differentiation,390.0573093,399.1270257,440.0045176,340.6521051,322.1537623,334.4559536,542.4858499,974.1519728,535.9158506
Gpx3,pro-Treg Differentiation,1.247918738,0.788726165,1.01419174,1.423460765,0.976803336,0.87089072,2.598439713,2.375844702,3.436482091
Gsr,pro-Treg Differentiation,25.33401913,26.19950087,24.03568137,17.39056953,19.95581314,19.92862335,35.86813382,44.51969779,36.50383745
Il1rl1,pro-Treg Differentiation,0.212873866,0.250633737,0.213371584,0.252465226,0.453824851,0.247351156,1.594468542,1.874415337,1.628952599
Pparg,pro-Treg Differentiation,5.549498429,7.061832426,5.888631473,1.402363157,1.519266036,1.497118067,7.343522851,11.6171404,8.361196992
Sirpa,pro-Treg Differentiation,157.6699967,159.6124416,137.2267716,91.44935796,94.92396872,94.04746584,233.6201243,186.5859912,236.5954653
Tgfbr1,pro-Treg Differentiation,14.48459111,14.91546993,13.68176053,6.946795066,6.912165412,7.89462438,15.0083014,13.85921067,15.76142057
Tgfbr2,pro-Treg Differentiation,18.01853826,18.98893955,14.52538763,9.60774963,10.30120944,9.793623892,25.05079309,19.65949426,28.43627863
