gene_name,Category,TA1,TA2,TA3,TA_VecDC1,TA_VecDC2,TA_VecDC3,TA_iCDC1,TA_iCDC2,TA_iCDC3
Ccl3,Chemotaxis,7993.84456,9214.064319,7787.138341,916.8265759,924.4864956,946.3609354,435.2039093,442.6067106,422.8541156
Ccr1,Chemotaxis,292.0678263,268.2129866,247.0059268,141.6604722,173.2153347,159.4083452,48.78109752,86.78562952,57.58013488
Itga2,Chemotaxis,667.0898281,737.8114818,816.5942206,353.5845385,295.0703085,343.0306162,124.3439741,149.4641397,148.4487852
Xcl1,Chemotaxis,5376.467501,6457.882382,4548.411376,746.8340093,706.9602613,676.9810103,330.9462695,423.3210151,295.9978809
Alcam,Immune Activation,4025.005725,4074.670019,4110.62102,676.5704151,678.7624161,646.713603,223.8191533,241.0711931,248.3143317
Cd40lg,Immune Activation,1434.415952,1638.176289,1510.607142,193.7915259,219.5403661,195.729234,77.47586077,79.07135134,85.47051272
Cd44,Immune Activation,17932.79171,19380.87174,21989.05747,2735.747038,2673.759963,2686.736856,1166.920372,1026.963283,1049.937772
Cd80,Immune Activation,580.6792286,594.2227112,619.3581448,547.3760644,578.0558262,584.1609612,109.9965924,117.6427422,101.6649257
Tagap,Immune Activation,2731.43905,2855.52008,2434.114376,423.8481327,397.7910302,369.2623692,213.2977401,186.1069611,191.6338864
Tnfrsf4,Immune Activation,1545.885625,1668.880806,1382.495859,661.837726,711.9955908,659.8294795,276.4262193,361.6067897,283.4022264
Tnfrsf9,Immune Activation,16954.62373,18669.2494,17199.17015,3720.570641,3732.186223,3721.882186,821.626721,730.9278575,765.635856
Tnfsf4,Immune Activation,468.3454493,474.1138653,465.4402725,242.5227283,236.6604863,220.9520734,45.9116212,51.10709294,65.67734135
Fosl1,Pro-inflammatory,845.9597691,855.2111056,824.8891958,52.13105376,48.33916317,47.41893813,17.21685795,24.10711931,23.3919298
Gab2,Pro-inflammatory,386.2553798,355.8111675,404.6104547,218.723769,226.5898273,207.8361969,37.30319222,52.07137771,40.48603234
Il1r1,Pro-inflammatory,325.7679601,274.5345048,280.1858274,43.06478354,44.31089957,33.29414805,6.695444758,14.46427159,8.996896076
Il5,Pro-inflammatory,135.6646412,151.7164369,148.3878889,124.6612155,109.770183,142.2568144,0.956492108,4.821423862,1.799379215
Il9r,Pro-inflammatory,483.0352512,428.9601638,449.7719861,82.72971574,84.59353554,77.68634544,32.52073168,43.39281476,36.88727391
Irf5,Pro-inflammatory,468.3454493,472.3077172,388.9421683,160.9262964,174.2224006,189.6757525,82.25832131,71.35707316,93.56771919
Lta,Pro-inflammatory,3005.360651,3223.974284,2682.96363,845.4296979,680.7765479,757.6940965,87.99727396,99.32133156,82.7714439
Sgk1,Pro-inflammatory,3169.54079,3484.059604,3628.590798,1305.542911,1328.319921,1473.013823,612.1549493,640.2850889,579.4001073
Spp1,Pro-inflammatory,11324.10906,12890.47869,10357.65897,3701.304817,3554.942625,3550.366878,496.4194042,493.7138035,513.7227659
Src,Pro-inflammatory,147.7621251,128.2365121,126.2679551,133.7274857,121.8549738,123.0874564,35.39020801,29.89282795,29.68975705
Tnf,Pro-inflammatory,4630.744027,4360.041413,3646.102412,733.2346039,737.1722383,738.5247385,168.3426111,189.9641002,145.7497164
