gene_name,Category,Sham1,Sham2,Sham3,IR1,IR2,IR3,IR4,iCDC1,iCDC2,iCDC3,iCDC4
Cap1,Cell Migration,-0.609045946,-0.567757006,-1.024989323,-0.125486289,1.716136634,1.821851415,-0.841846031,-0.223052301,0.382940319,-0.946727609,0.417976136
Cotl1,Cell Migration,-1.065009814,-0.994520584,-1.018774634,0.46642674,1.317070169,1.768671189,0.019636259,-0.292230644,0.906115819,-0.898927835,-0.208456665
Hsp90b1,Cell Migration,-1.006595626,-0.912127289,-0.863401852,-0.172770325,1.622305796,1.961487545,0.17337132,0.345359368,-0.280166147,-0.818502497,-0.048960294
Itgal,Cell Migration,-1.07115887,-0.848942141,-1.088582908,0.213354505,1.592155474,1.610946145,0.267461735,-0.078700484,0.587260126,-1.161101879,-0.022691705
Lcp1,Cell Migration,-1.094743644,-1.181889788,-1.315753245,1.124828703,1.046334817,0.936648821,0.486472827,0.319202938,1.017607754,-0.957413703,-0.381295481
Myh9,Cell Migration,-1.003254798,-1.131046773,-1.137691264,0.84315134,1.792049308,1.287263925,0.158243862,0.097559388,0.213403314,-0.818236715,-0.301441587
Myl12a,Cell Migration,-0.595274233,-0.58944093,-0.766226034,-0.535989964,1.464740428,2.381394636,-0.473333884,-0.404623767,0.020394279,-0.466820922,-0.034819609
Vasp,Cell Migration,-0.875740652,-0.752943122,-1.0491026,0.035335458,1.400244103,2.117896367,-0.46645818,-0.341168007,0.600934833,-0.650126036,-0.018872163
Bsg,Pro-inflammation,-1.152769537,-0.694086394,-0.95217868,-0.084989773,1.058778813,2.356187309,-0.382875674,0.114490698,-0.408642181,-0.291310795,0.437396213
Hmgb2,Pro-inflammation,-1.08952305,-0.679722754,-0.753395463,-0.37453597,1.961362653,0.990599636,0.822409792,-0.555813409,-0.547657961,-0.754037411,0.980313938
Ltb,Pro-inflammation,-0.58830074,-0.751347811,-0.578052491,0.478308887,1.769389389,1.661580374,-0.473232314,-0.723200642,-1.001870648,-0.553442101,0.760168099
Pdia3,Pro-inflammation,-1.057393178,-0.676729318,-0.846089317,-0.369514329,1.382805383,2.22757692,0.08284043,0.343496512,-0.371453743,-0.656492714,-0.059046646
Cd247,Th1/2/17/T-Toxic  Cell Differentiation,-0.804480166,-0.715736527,-0.759845596,0.169972172,1.233477091,2.318153476,-0.861763771,0.474862479,-0.358005746,-0.352018326,-0.344615086
Cd3g,Th1/2/17/T-Toxic  Cell Differentiation,-0.834978985,-0.699494842,-0.914049413,0.162971633,1.101358078,2.419471047,-0.720513627,0.083495339,0.122831138,-0.564820373,-0.156269994
Fyn,Th1/2/17/T-Toxic  Cell Differentiation,-0.786391598,-0.966544029,-1.008608865,0.977146268,1.220508692,1.440298171,-0.609597398,-0.020515243,0.778622987,-1.351405513,0.326486528
Il2rb,Th1/2/17/T-Toxic  Cell Differentiation,-0.891775769,-0.738451233,-0.976814071,-0.423358027,1.731307271,1.935732755,0.363329142,-0.639041462,0.241419684,-0.27411323,-0.328235059
Ppp1ca,Th1/2/17/T-Toxic  Cell Differentiation,-0.92368542,-0.639380383,-0.970625805,0.334230597,1.559881472,2.041022747,0.159891062,-0.376827902,-0.30510784,-0.907589883,0.028191355
Runx3,Th1/2/17/T-Toxic  Cell Differentiation,-0.717098175,-1.177397295,-1.019051815,0.955568564,1.566766366,1.530937843,-0.384970083,-0.453470669,0.117374289,-0.87796558,0.459306555
