,geneid_symbol,S1,S2,S3,S4,S5,S6,I44,I51,I55,I69,geneid3,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000000001.5_ Gnai3, Gnai3,7.240009,9.083511,7.217802,7.458625,7.600978,7.991116,13.817305,19.717506,11.638813,21.469334, Gnai3,380.5668946,0.691808638,0.118710736,5.827683847,5.62E-09,1.43E-07
ENSMUSG00000000028.16_ Cdc45, Cdc45,1.761299,1.098384,2.0362,1.152646,1.784237,1.921576,2.034542,2.981015,2.806942,1.792682, Cdc45,35.11379408,-0.14993657,0.260037461,-0.576596039,0.564212376,0.686671393
ENSMUSG00000000037.18_ Scml2, Scml2,0.093773,0.160682,0.16152,0.242212,0.035706,0.125561,0.231805,0.247437,1.541841,0.501255, Scml2,8.248771226,0.766672335,0.4475382,1.713088034,0.086696345,0.166289551
ENSMUSG00000000056.8_ Narf, Narf,32.762029,31.762822,30.017808,30.64468,30.52372,32.991876,23.852391,32.370773,34.901428,31.132691, Narf,1474.296774,-0.434000069,0.113157121,-3.835375679,0.000125373,0.000766978
ENSMUSG00000000058.7_ Cav2, Cav2,20.603416,18.066442,17.719724,18.056526,22.504348,20.789212,25.462875,23.582915,26.063187,27.498637, Cav2,630.89292,-0.018768059,0.123606858,-0.151836713,0.879315725,0.923482268
ENSMUSG00000000078.8_ Klf6, Klf6,11.646269,17.90283,14.84078,10.477225,19.954746,20.060565,21.314176,31.984853,18.793457,34.093511, Klf6,883.2930944,0.339310212,0.18553329,1.828837353,0.067423977,0.135717541
ENSMUSG00000000085.17_ Scmh1, Scmh1,24.432551,27.117467,19.74691,24.726135,23.837002,29.213318,27.739391,34.512432,24.423436,27.862592, Scmh1,608.8501737,-0.256061561,0.092534158,-2.767211233,0.005653811,0.018216137
ENSMUSG00000000088.8_ Cox5a, Cox5a,1193.246097,1129.52879,1148.138708,1301.32045,1196.784219,1261.255375,1268.402934,1135.776418,1191.065981,1020.624026, Cox5a,5582.778255,-0.445701602,0.129419217,-3.443859519,0.000573474,0.002702458
ENSMUSG00000000093.7_ Tbx2, Tbx2,3.217181,4.641391,2.90623,3.973093,3.304675,3.637159,4.837238,6.845076,4.705848,7.843312, Tbx2,175.786656,0.342129713,0.134022849,2.552771526,0.010686957,0.030548803
ENSMUSG00000000120.7_ Ngfr, Ngfr,0.161821,0.297976,0.158797,0.272489,0.23104,0.154728,0.688775,1.0965,0.511786,1.572507, Ngfr,17.24067933,1.75288441,0.381955087,4.589242214,4.45E-06,4.54E-05
ENSMUSG00000000126.12_ Wnt9a, Wnt9a,3.062319,4.007248,4.190889,3.377578,2.808229,2.417963,3.796215,4.445681,3.580066,4.694205, Wnt9a,130.2455432,-0.07205371,0.163736582,-0.440058716,0.659894582,0.765459031
ENSMUSG00000000127.16_ Fer, Fer,5.925864,6.532934,5.536802,4.897028,6.576404,6.798987,5.813326,7.103934,6.395401,8.365139, Fer,202.7270942,-0.222687092,0.117899575,-1.88878621,0.058920481,0.122104755
ENSMUSG00000000131.16_ Xpo6, Xpo6,17.214502,19.291894,17.398376,20.948275,13.221159,19.003414,15.096855,22.96074,19.156871,21.634982, Xpo6,874.9637015,-0.268836433,0.099016406,-2.715069598,0.006626184,0.020717691
ENSMUSG00000000134.18_ Tfe3, Tfe3,5.845971,6.975857,6.682757,7.176194,4.905168,7.084693,8.858984,12.635192,10.262578,13.603848, Tfe3,278.8787097,0.44210903,0.100893044,4.381957469,1.18E-05,0.000103073
ENSMUSG00000000142.16_ Axin2, Axin2,1.203914,2.645587,1.793902,2.736311,2.367182,2.100821,1.362939,2.809496,2.992807,2.847165, Axin2,81.31582926,0.051884098,0.195829399,0.2649454,0.791051523,0.863607094
ENSMUSG00000000148.18_ Brat1, Brat1,3.544425,4.422387,3.391858,4.732645,3.450245,4.183785,4.021386,6.832966,5.391279,6.839891, Brat1,165.7841922,0.111337776,0.132432861,0.840711094,0.400509804,0.535510814
ENSMUSG00000000149.11_ Gna12, Gna12,60.114187,59.312729,53.381128,64.701111,58.671615,63.494316,58.69816,73.38447,63.105035,77.967581, Gna12,2351.865312,-0.205677542,0.06891395,-2.984555991,0.002839902,0.010341977
ENSMUSG00000000168.11_ Dlat, Dlat,197.924478,163.322743,173.541024,198.691415,191.722053,181.746356,179.589096,175.328462,188.089974,154.486473, Dlat,5608.73689,-0.521220017,0.146874587,-3.548742015,0.000387076,0.001938338
ENSMUSG00000000171.6_ Sdhd, Sdhd,330.395876,323.821231,353.93118,403.741536,354.746373,384.115524,366.634606,378.531229,385.162654,340.495595, Sdhd,4215.561231,-0.342500431,0.118502387,-2.89024078,0.003849469,0.013245809
