gene_symbol,gene_row_id,group1_exp_mean,group2_exp_mean,I1,I2,I3,I4,C1,C2,C3,C4,C5,C6,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
 Gnai3,ENSMUSG00000000001.5,16.6607395,9.591383667,13.817305,19.717506,11.638813,21.469334,7.434894,7.710843,10.775278,10.413674,10.387832,10.825781,430.733505,-0.491731459,0.138556206,-3.548967409,0.000386745,0.002543815
 Cdc45,ENSMUSG00000000028.16,2.40379525,1.894326667,2.034542,2.981015,2.806942,1.792682,1.87939,1.591491,3.045454,1.655129,1.547719,1.646777,36.13273997,0.09977326,0.253850179,0.393039942,0.694289981,0.800893081
 Scml2,ENSMUSG00000000037.18,0.6305845,0.1934065,0.231805,0.247437,1.541841,0.501255,0.28509,0.079392,0.222996,0.23522,0.138448,0.199293,9.345078548,-0.576415919,0.422516011,-1.364246335,0.17249005,0.304016452
 Narf,ENSMUSG00000000056.8,30.56432075,30.97735017,23.852391,32.370773,34.901428,31.132691,31.059162,31.775226,31.462099,30.676952,30.3508,30.539862,1500.208329,0.349095495,0.11385257,3.066206531,0.002167935,0.010088145
 Cav2,ENSMUSG00000000058.7,25.6519035,20.4250265,25.462875,23.582915,26.063187,27.498637,23.451214,18.857743,17.932228,17.688839,20.299612,24.320523,645.750784,-0.061849281,0.142996821,-0.43252207,0.665362016,0.780342958
 Klf6,ENSMUSG00000000078.8,26.54649925,17.31470267,21.314176,31.984853,18.793457,34.093511,17.414776,16.688751,17.167859,15.12694,16.629309,20.860581,921.622759,-0.373244543,0.119764766,-3.116480381,0.001830239,0.008785225
 Scmh1,ENSMUSG00000000085.17,28.63446275,28.00054417,27.739391,34.512432,24.423436,27.862592,28.632451,29.49813,32.108084,25.813154,24.761347,27.190099,645.6533253,0.26127521,0.097240822,2.686888136,0.00721211,0.026262003
 Cox5a,ENSMUSG00000000088.8,1153.96734,1335.932459,1268.402934,1135.776418,1191.065981,1020.624026,1412.909344,1340.675631,1341.457588,1335.73524,1304.878259,1279.938694,6037.36515,0.492108854,0.124371643,3.956760912,7.60E-05,0.000683133
 Tbx2,ENSMUSG00000000093.7,6.0578685,5.159892833,4.837238,6.845076,4.705848,7.843312,4.210854,4.695244,5.199225,4.411332,7.343487,5.099215,218.9908995,0.072504757,0.151743718,0.477810598,0.632785018,0.75544849
 Ngfr,ENSMUSG00000000120.7,0.967392,0.399588,0.688775,1.0965,0.511786,1.572507,0.213105,0.028501,0.479442,0.553335,0.464088,0.659057,22.3672916,-0.947903238,0.475341187,-1.994153387,0.046135294,0.11174918
 Wnt9a,ENSMUSG00000000126.12,4.12904175,2.7939955,3.796215,4.445681,3.580066,4.694205,2.331192,2.671898,3.31438,3.155084,2.992732,2.298687,119.3461722,-0.275216196,0.135056308,-2.037788527,0.041571086,0.103243484
 Fer,ENSMUSG00000000127.16,6.91945,5.9274585,5.813326,7.103934,6.395401,8.365139,5.07969,6.59729,6.091194,6.567576,5.963326,5.265675,200.7891229,0.069981947,0.110805156,0.631576636,0.527663558,0.670862482
 Xpo6,ENSMUSG00000000131.16,19.712362,20.6620155,15.096855,22.96074,19.156871,21.634982,17.636757,22.92846,20.884379,24.83851,20.729852,16.954135,922.0904926,0.262083694,0.095513206,2.743952429,0.006070433,0.022823306
 Tfe3,ENSMUSG00000000134.18,11.3401505,6.624476667,8.858984,12.635192,10.262578,13.603848,5.130136,6.164365,7.155536,6.065685,7.835372,7.395766,293.3219797,-0.451353843,0.121251632,-3.722455828,0.000197294,0.001482243
 Axin2,ENSMUSG00000000142.16,2.50310175,1.863872667,1.362939,2.809496,2.992807,2.847165,1.79469,2.079576,1.676678,2.007442,2.369358,1.255492,82.65132994,-0.148075894,0.185349072,-0.798902811,0.424346769,0.578534744
 Brat1,ENSMUSG00000000148.18,5.7713805,4.031747167,4.021386,6.832966,5.391279,6.839891,3.339797,4.450722,4.472213,3.334456,4.741571,3.851724,169.6067746,-0.189816601,0.133373925,-1.42319123,0.154680727,0.280201731
 Gna12,ENSMUSG00000000149.11,68.2888115,67.15330667,58.69816,73.38447,63.105035,77.967581,53.459677,66.920347,74.247148,75.084358,72.838019,60.370291,2546.441384,0.260172632,0.080685242,3.224538055,0.001261761,0.006496463
 Dlat,ENSMUSG00000000168.11,174.3735013,185.2032788,179.589096,175.328462,188.089974,154.486473,182.745569,183.677064,202.027874,183.477695,172.807948,186.483523,5622.080873,0.404975117,0.139395785,2.905217812,0.003669976,0.015307082
 Sdhd,ENSMUSG00000000171.6,367.706021,412.953697,366.634606,378.531229,385.162654,340.495595,386.961353,436.574162,439.973739,416.367337,412.21586,385.629731,4663.32319,0.439521382,0.103809167,4.233936128,2.30E-05,0.000266155
 Fgf6,ENSMUSG00000000183.7,0.39577475,0.292877667,0.547517,0.279317,0.317883,0.438382,0.154445,0.206801,0.569093,0.190106,0.304544,0.332277,17.40968539,-0.174996972,0.414228814,-0.422464507,0.672686002,0.785546769
 Ccnd2,ENSMUSG00000000184.13,22.62353575,22.67153283,19.018444,19.833085,24.310855,27.331759,21.906863,26.676681,21.415703,22.184433,21.67111,22.174407,1547.636134,0.254773723,0.117495299,2.168373767,0.03013026,0.080365687
 Gpr107,ENSMUSG00000000194.14,12.61624925,11.09466867,10.75141,13.524083,10.495731,15.693773,9.668923,11.275255,11.025795,14.371562,10.956933,9.269544,758.4679414,0.047635952,0.086443157,0.551066779,0.581587898,0.714580657
 Nalcn,ENSMUSG00000000197.9,0.27969275,0.163527667,0.196104,0.427037,0.158439,0.337191,0.111358,0.132687,0.14196,0.203216,0.205606,0.186339,16.52857321,-0.454238873,0.350756301,-1.295026981,0.195310922,0.333244511
