,geneid_symbol,S1,S2,S3,S4,S5,S6,V50,V52,V57,V65,geneid3,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000000001.5_ Gnai3, Gnai3,7.240009,9.083511,7.217802,7.458625,7.600978,7.991116,13.983637,26.678191,21.674001,14.487455, Gnai3,396.2176229,0.826052368,0.113439269,7.281890781,3.29E-13,1.38E-11
ENSMUSG00000000028.16_ Cdc45, Cdc45,1.761299,1.098384,2.0362,1.152646,1.784237,1.921576,1.197827,2.559915,2.836623,2.84312, Cdc45,37.27634601,0.101137895,0.299099374,0.338141446,0.735256599,0.803729355
ENSMUSG00000000056.8_ Narf, Narf,32.762029,31.762822,30.017808,30.64468,30.52372,32.991876,35.823423,35.358031,33.716852,28.763394, Narf,1486.805937,-0.363321636,0.114624745,-3.169661442,0.001526166,0.004910838
ENSMUSG00000000058.7_ Cav2, Cav2,20.603416,18.066442,17.719724,18.056526,22.504348,20.789212,23.249906,26.144542,28.589117,21.541148, Cav2,611.1880151,-0.106589364,0.116880523,-0.911951469,0.361794266,0.470858155
ENSMUSG00000000078.8_ Klf6, Klf6,11.646269,17.90283,14.84078,10.477225,19.954746,20.060565,21.182058,32.576142,31.051485,22.223212, Klf6,856.8964966,0.268649038,0.180594927,1.487577987,0.136862222,0.216071799
ENSMUSG00000000085.17_ Scmh1, Scmh1,24.432551,27.117467,19.74691,24.726135,23.837002,29.213318,21.658367,28.9702,29.55817,27.632826, Scmh1,591.4944822,-0.343150545,0.101923475,-3.366746915,0.000760605,0.002714191
ENSMUSG00000000088.8_ Cox5a, Cox5a,1193.246097,1129.52879,1148.138708,1301.32045,1196.784219,1261.255375,1088.445785,794.799625,977.758817,1107.44994, Cox5a,5254.040518,-0.69006122,0.166320664,-4.148980661,3.34E-05,0.00019037
ENSMUSG00000000093.7_ Tbx2, Tbx2,3.217181,4.641391,2.90623,3.973093,3.304675,3.637159,4.71699,9.275172,7.894606,6.670925, Tbx2,184.3044165,0.514760492,0.135085581,3.810624987,0.000138616,0.000638518
ENSMUSG00000000120.7_ Ngfr, Ngfr,0.161821,0.297976,0.158797,0.272489,0.23104,0.154728,0.490104,2.159482,1.153795,1.796339, Ngfr,21.75414582,2.233925987,0.416325901,5.365810724,8.06E-08,1.03E-06
ENSMUSG00000000126.12_ Wnt9a, Wnt9a,3.062319,4.007248,4.190889,3.377578,2.808229,2.417963,3.290259,5.237939,5.108003,3.368515, Wnt9a,127.8443836,-0.108035948,0.173941321,-0.621105714,0.53453007,0.636110508
