,geneid_symbol,V50,V52,V57,V65,C18,C25,C41,C46,C64,C67,geneid3,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000000001.5_ Gnai3, Gnai3,13.983637,26.678191,21.674001,14.487455,7.434894,7.710843,10.775278,10.413674,10.387832,10.825781, Gnai3,446.9094816,-0.618866233,0.137579593,-4.498241476,6.85E-06,0.000102981
ENSMUSG00000000028.16_ Cdc45, Cdc45,1.197827,2.559915,2.836623,2.84312,1.87939,1.591491,3.045454,1.655129,1.547719,1.646777, Cdc45,38.40909441,-0.147932593,0.288973987,-0.511923561,0.608704508,0.718080157
ENSMUSG00000000037.18_ Scml2, Scml2,0.72247,0.347289,1.291022,0.251517,0.28509,0.079392,0.222996,0.23522,0.138448,0.199293, Scml2,10.26876347,-0.850653264,0.470433517,-1.808232693,0.070570292,0.141681105
ENSMUSG00000000056.8_ Narf, Narf,35.823423,35.358031,33.716852,28.763394,31.059162,31.775226,31.462099,30.676952,30.3508,30.539862, Narf,1514.183596,0.285006123,0.115016664,2.477955045,0.013213779,0.037107305
ENSMUSG00000000058.7_ Cav2, Cav2,23.249906,26.144542,28.589117,21.541148,23.451214,18.857743,17.932228,17.688839,20.299612,24.320523, Cav2,625.026917,0.032914731,0.139421746,0.236080324,0.813370341,0.874776932
ENSMUSG00000000078.8_ Klf6, Klf6,21.182058,32.576142,31.051485,22.223212,17.414776,16.688751,17.167859,15.12694,16.629309,20.860581, Klf6,893.7874285,-0.298002901,0.100252548,-2.972521976,0.002953641,0.011328772
ENSMUSG00000000085.17_ Scmh1, Scmh1,21.658367,28.9702,29.55817,27.632826,28.632451,29.49813,32.108084,25.813154,24.761347,27.190099, Scmh1,627.4685929,0.354589905,0.106386854,3.333023686,0.000859076,0.004285898
ENSMUSG00000000088.8_ Cox5a, Cox5a,1088.445785,794.799625,977.758817,1107.44994,1412.909344,1340.675631,1341.457588,1335.73524,1304.878259,1279.938694, Cox5a,5691.928152,0.742415291,0.160919178,4.61359113,3.96E-06,6.76E-05
ENSMUSG00000000093.7_ Tbx2, Tbx2,4.71699,9.275172,7.894606,6.670925,4.210854,4.695244,5.199225,4.411332,7.343487,5.099215, Tbx2,227.7554613,-0.093331356,0.156271346,-0.597239086,0.550347767,0.66996636
ENSMUSG00000000120.7_ Ngfr, Ngfr,0.490104,2.159482,1.153795,1.796339,0.213105,0.028501,0.479442,0.553335,0.464088,0.659057, Ngfr,27.10373254,-1.42289775,0.518829928,-2.74251286,0.006097106,0.019977169
ENSMUSG00000000126.12_ Wnt9a, Wnt9a,3.290259,5.237939,5.108003,3.368515,2.331192,2.671898,3.31438,3.155084,2.992732,2.298687, Wnt9a,116.9334916,-0.234265541,0.143733418,-1.629861346,0.103130805,0.190666149
ENSMUSG00000000127.16_ Fer, Fer,6.070628,9.209763,8.505982,5.18155,5.07969,6.59729,6.091194,6.567576,5.963326,5.265675, Fer,198.2401789,0.090770621,0.132532346,0.684894098,0.493410751,0.618758138
ENSMUSG00000000131.16_ Xpo6, Xpo6,15.02292,23.880955,21.875887,21.182611,17.636757,22.92846,20.884379,24.83851,20.729852,16.954135, Xpo6,918.140793,0.253227167,0.085043703,2.977612204,0.002905033,0.011184889
ENSMUSG00000000134.18_ Tfe3, Tfe3,8.010696,16.667314,14.404343,9.197273,5.130136,6.164365,7.155536,6.065685,7.835372,7.395766, Tfe3,284.573996,-0.381665319,0.134485448,-2.837967419,0.004540182,0.015846504
ENSMUSG00000000142.16_ Axin2, Axin2,1.669607,2.159431,2.499099,4.244026,1.79469,2.079576,1.676678,2.007442,2.369358,1.255492, Axin2,77.74719817,0.045720053,0.205671848,0.222296118,0.824083374,0.882010228
ENSMUSG00000000148.18_ Brat1, Brat1,5.168569,9.305553,6.74182,6.484573,3.339797,4.450722,4.472213,3.334456,4.741571,3.851724, Brat1,178.4028537,-0.374648978,0.124979432,-2.997685079,0.002720386,0.010623693
ENSMUSG00000000149.11_ Gna12, Gna12,70.309389,83.892048,86.400853,67.59744,53.459677,66.920347,74.247148,75.084358,72.838019,60.370291, Gna12,2601.638301,0.150417163,0.091024919,1.652483353,0.098436056,0.183889863
ENSMUSG00000000168.11_ Dlat, Dlat,160.846982,145.364177,176.548611,173.245764,182.745569,183.677064,202.027874,183.477695,172.807948,186.483523, Dlat,5441.006417,0.521875959,0.147210665,3.54509612,0.00039247,0.002302467
ENSMUSG00000000171.6_ Sdhd, Sdhd,378.473694,270.570054,369.260427,361.410241,386.961353,436.574162,439.973739,416.367337,412.21586,385.629731, Sdhd,4497.135926,0.574483502,0.155906432,3.684796673,0.000228885,0.001525049
ENSMUSG00000000184.13_ Ccnd2, Ccnd2,22.851439,37.30381,39.549087,23.743257,21.906863,26.676681,21.415703,22.184433,21.67111,22.174407, Ccnd2,1642.271824,0.003566894,0.097988815,0.036401032,0.970962592,0.981522231
ENSMUSG00000000194.14_ Gpr107, Gpr107,10.838182,16.39381,16.380394,12.228293,9.668923,11.275255,11.025795,14.371562,10.956933,9.269544, Gpr107,771.9752809,-0.040906314,0.079519887,-0.514416152,0.606961069,0.716651511
ENSMUSG00000000197.9_ Nalcn, Nalcn,0.329193,0.952822,0.414867,0.192644,0.111358,0.132687,0.14196,0.203216,0.205606,0.186339, Nalcn,20.7011458,-1.089734733,0.385710502,-2.825265909,0.004724139,0.01633556
ENSMUSG00000000204.17_ Slfn4, Slfn4,1.896209,0.749939,1.691484,1.362948,0.024651,0,0.408497,0.301239,0.344897,0.09876, Slfn4,25.21792138,-2.477010398,0.634969207,-3.900992945,9.58E-05,0.000775025
ENSMUSG00000000244.18_ Tspan32, Tspan32,1.712518,1.783804,1.263724,6.928609,0.358432,0.628551,0.383589,0.534306,0.651001,0.117547, Tspan32,21.64953596,-2.529217373,0.647961103,-3.903347533,NA,NA
ENSMUSG00000000253.14_ Gmpr, Gmpr,71.366032,75.672323,78.549796,70.125408,88.056928,102.001671,93.254055,84.911845,97.226758,73.768288, Gmpr,1245.112223,0.588266862,0.108652255,5.414216792,6.16E-08,2.40E-06
